iter	Passed	Remaining
242	1124	3502
243	1127	3493
244	1130	3485
245	1136	3483
246	1139	3472
247	1140	3458
248	1142	3444
249	1144	3432
250	1147	3422
251	1148	3409
252	1149	3395
253	1151	3381
254	1159	3387
255	1161	3376
256	1163	3362
257	1165	3350
258	1166	3338
259	1174	3341
260	1177	3332
261	1178	3319
262	1179	3306
263	1193	3326
264	1194	3313
265	1204	3324
266	1206	3313
267	1208	3299
268	1209	3286
269	1212	3278
270	1216	3272
271	1219	3264
272	1221	3252
273	1223	3241
274	1233	3252
275	1235	3241
276	1237	3229
277	1238	3216
278	1247	3222
279	1249	3213
280	1251	3201
281	1258	3205
282	1261	3195
283	1262	3183
284	1264	3171
285	1266	3160
286	1268	3150
287	1270	3140
288	1271	3129
289	1273	3118
290	1276	3110
291	1278	3099
292	1279	3088
293	1281	3077
294	1285	3071
295	1287	3061
296	1288	3050
297	1290	3040
298	1292	3029
299	1294	3020
300	1296	3011
301	1302	3010
302	1304	3001
303	1306	2990
304	1307	2979
305	1312	2976
306	1316	2971
307	1318	2962
308	1319	2951
309	1321	2941
310	1322	2930
311	1326	2924
312	1330	2919
313	1331	2909
314	1332	2898
315	1334	2888
316	1336	2879
317	1338	2870
318	1339	2860
319	1341	2850
320	1346	2847
321	1348	2839
322	1351	2832
323	1353	2823
324	1354	2813
325	1362	2816
326	1364	2807
327	1366	2798
328	1367	2789
329	1369	2780
330	1373	2776
331	1375	2768
332	1377	2758
333	1379	2750
334	1381	2741
335	1384	2736
336	1393	2741
337	1400	2743
338	1404	2738
339	1408	2734
340	1413	2732
341	1420	2733
342	1421	2723
343	1423	2714
344	1425	2706
345	1427	2697
346	1428	2688
347	1454	2725
348	1456	2716
349	1459	2709
350	1460	2700
351	1462	2691
352	1463	2682
353	1464	2672
354	1468	2667
355	1471	2661
356	1474	2655
357	1476	2647
358	1477	2638
359	1480	2631
360	1484	2628
361	1487	2621
362	1488	2612
363	1490	2604
364	1491	2595
365	1493	2587
366	1496	2581
367	1499	2576
368	1501	2567
369	1502	2559
370	1504	2550
371	1505	2541
372	1506	2532
373	1508	2525
374	1510	2517
375	1512	2510
376	1514	2502
377	1515	2493
378	1516	2485
379	1518	2478
380	1523	2475
381	1527	2471
382	1528	2462
383	1530	2454
384	1531	2446
385	1535	2442
386	1538	2437
387	1540	2429
388	1542	2422
389	1543	2414
390	1545	2407
391	1551	2406
392	1553	2399
393	1554	2390
394	1555	2383
395	1557	2375
396	1558	2367
397	1560	2360
398	1564	2356
399	1566	2349
400	1567	2341
401	1568	2333
402	1570	2326
403	1571	2318
404	1572	2310
405	1574	2303
406	1579	2301
407	1581	2294
408	1582	2287
409	1584	2280
410	1585	2272
411	1587	2264
412	1588	2258
413	1591	2252
414	1593	2246
415	1595	2239
416	1596	2232
417	1598	2225
418	1601	2221
419	1603	2214
420	1605	2208
421	1607	2201
422	1609	2195
423	1617	2196
424	1619	2191
425	1621	2184
426	1630	2188
427	1636	2187
428	1642	2185
429	1657	2197
430	1666	2199
431	1667	2193
432	1670	2187
433	1677	2187
434	1682	2185
435	1684	2179
436	1693	2181
437	1696	2176
438	1698	2170
439	1705	2170
440	1706	2163
441	1708	2156
442	1719	2161
443	1720	2155
444	1734	2162
445	1735	2156
446	1740	2152
447	1742	2146
448	1743	2139
449	1746	2134
450	1748	2128
451	1750	2122
452	1751	2115
453	1757	2113
454	1764	2113
455	1765	2106
456	1771	2104
457	1773	2099
458	1775	2092
459	1776	2085
460	1790	2093
461	1791	2086
462	1796	2083
463	1800	2079
464	1804	2076
465	1806	2070
466	1808	2063
467	1809	2057
468	1815	2055
469	1824	2057
470	1837	2063
471	1839	2057
472	1840	2051
473	1852	2056
474	1856	2052
475	1862	2049
476	1863	2043
477	1877	2050
478	1879	2044
479	1888	2045
480	1890	2039
481	1893	2034
482	1897	2031
483	1901	2027
484	1903	2020
485	1907	2017
486	1912	2015
487	1914	2008
488	1918	2004
489	1919	1998
490	1927	1998
491	1931	1994
492	1934	1989
493	1936	1983
494	1940	1979
495	1945	1977
496	1948	1971
497	1964	1979
498	1974	1982
499	1977	1977
500	1985	1977
501	1987	1972
502	1989	1965
503	1995	1964
504	2000	1960
505	2002	1954
506	2007	1952
507	2009	1946
508	2035	1963
509	2036	1956
510	2038	1950
511	2039	1944
512	2050	1946
513	2054	1942
514	2055	1936
515	2065	1937
516	2067	1931
517	2068	1924
518	2078	1926
519	2080	1920
520	2082	1914
521	2083	1908
522	2100	1915
523	2101	1909
524	2103	1903
525	2106	1898
526	2108	1892
527	2113	1889
528	2121	1889
529	2123	1882
530	2135	1886
531	2137	1880
532	2138	1873
533	2150	1876
534	2152	1870
535	2153	1864
536	2165	1867
537	2167	1861
538	2168	1855
539	2172	1851
540	2175	1845
541	2176	1839
542	2188	1842
543	2190	1836
544	2192	1830
545	2196	1826
546	2212	1831
547	2223	1834
548	2225	1828
549	2226	1822
550	2231	1818
551	2234	1813
552	2240	1811
553	2244	1807
554	2256	1809
555	2260	1805
556	2264	1801
557	2268	1797
558	2276	1796
559	2278	1790
560	2280	1784
561	2295	1788
562	2296	1782
563	2311	1786
564	2313	1780
565	2314	1775
566	2330	1779
567	2333	1775
568	2337	1770
569	2339	1765
570	2341	1759
571	2346	1755
572	2348	1749
573	2351	1745
574	2353	1739
575	2360	1737
576	2366	1734
577	2367	1728
578	2369	1722
579	2374	1719
580	2377	1714
581	2379	1708
582	2381	1703
583	2388	1701
584	2391	1696
585	2393	1690
586	2394	1684
587	2395	1678
588	2401	1675
589	2403	1669
590	2405	1664
591	2407	1658
592	2408	1652
593	2409	1646
594	2412	1641
595	2414	1636
596	2416	1631
597	2418	1625
598	2419	1619
599	2420	1613
600	2423	1609
601	2424	1603
602	2426	1597
603	2430	1593
604	2432	1588
605	2433	1582
606	2437	1578
607	2439	1572
608	2442	1568
609	2444	1562
610	2446	1557
611	2448	1552
612	2452	1548
613	2453	1542
614	2456	1537
615	2458	1532
616	2459	1526
617	2460	1521
618	2462	1515
619	2463	1509
620	2467	1505
621	2468	1500
622	2470	1495
623	2472	1489
624	2473	1484
625	2475	1478
626	2476	1473
627	2477	1467
628	2480	1462
629	2481	1457
630	2484	1453
631	2486	1447
632	2488	1442
633	2493	1439
634	2494	1433
635	2496	1428
636	2498	1423
637	2500	1418
638	2501	1413
639	2502	1407
640	2505	1403
641	2506	1397
642	2509	1393
643	2511	1388
644	2512	1382
645	2513	1377
646	2517	1373
647	2519	1368
648	2520	1363
649	2524	1359
650	2525	1353
651	2527	1348
652	2528	1343
653	2530	1338
654	2532	1333
655	2534	1329
656	2536	1324
657	2538	1319
658	2539	1314
659	2543	1310
660	2545	1305
661	2547	1300
662	2550	1296
663	2551	1291
664	2553	1286
665	2558	1283
666	2562	1279
667	2565	1274
668	2566	1269
669	2568	1264
670	2573	1261
671	2575	1257
672	2577	1252
673	2579	1247
674	2585	1244
675	2587	1240
676	2591	1236
677	2592	1231
678	2593	1226
679	2595	1221
680	2596	1216
681	2598	1211
682	2600	1207
683	2602	1202
684	2604	1197
685	2605	1192
686	2606	1187
687	2607	1182
688	2611	1178
689	2612	1173
690	2615	1169
691	2617	1164
692	2618	1160
693	2620	1155
694	2621	1150
695	2624	1146
696	2626	1141
697	2628	1137
698	2630	1132
699	2631	1127
700	2633	1123
701	2634	1118
702	2635	1113
703	2638	1109
704	2640	1104
705	2645	1101
706	2653	1099
707	2655	1095
708	2657	1090
709	2659	1086
710	2660	1081
711	2661	1076
712	2669	1074
713	2671	1069
714	2672	1065
715	2674	1060
716	2677	1056
717	2679	1052
718	2681	1048
719	2683	1043
720	2684	1038
721	2685	1034
722	2687	1029
723	2689	1025
724	2691	1020
725	2701	1019
726	2707	1016
727	2712	1013
728	2713	1008
729	2714	1003
730	2715	999
731	2720	996
732	2722	991
733	2723	986
734	2725	982
735	2727	978
736	2728	973
737	2730	969
738	2734	965
739	2735	961
740	2736	956
741	2739	952
742	2740	948
743	2742	943
744	2743	939
745	2748	935
746	2751	932
747	2753	927
748	2756	923
749	2757	919
750	2759	914
751	2763	911
752	2765	907
753	2766	902
754	2770	899
755	2772	894
756	2774	890
757	2776	886
758	2778	882
759	2780	878
760	2784	874
761	2790	871
762	2791	867
763	2792	862
764	2794	858
765	2798	854
766	2800	850
767	2802	846
768	2804	842
769	2805	838
770	2806	833
771	2807	829
772	2810	825
773	2812	821
774	2814	817
775	2820	814
776	2826	811
777	2832	808
778	2834	804
779	2842	801
780	2844	797
781	2845	793
782	2847	789
783	2851	785
784	2853	781
785	2855	777
786	2857	773
787	2868	771
788	2870	767
789	2872	763
790	2873	759
791	2877	755
792	2879	751
793	2880	747
794	2882	743
795	2884	739
796	2885	735
797	2886	730
798	2890	727
799	2892	723
800	2895	719
801	2897	715
802	2898	711
803	2900	707
804	2901	702
805	2904	699
806	2907	695
807	2908	691
808	2910	687
809	2911	682
810	2915	679
811	2916	675
812	2918	671
813	2920	667
814	2921	663
815	2923	659
816	2924	655
817	2927	651
818	2929	647
819	2931	643
820	2933	639
821	2934	635
822	2936	631
823	2937	627
824	2941	623
825	2942	619
826	2944	615
827	2946	612
828	2949	608
829	2951	604
830	2955	601
831	2957	597
832	2959	593
833	2961	589
834	2962	585
835	2964	581
836	2965	577
837	2968	573
838	2970	570
839	2972	566
840	2974	562
841	2975	558
842	2976	554
843	2978	550
844	2983	547
845	2986	543
846	2988	539
847	2989	535
848	2990	531
849	2995	528
850	2997	524
851	3000	521
852	3002	517
853	3004	513
854	3005	509
855	3006	505
856	3008	502
857	3010	498
858	3012	494
859	3014	490
860	3015	486
861	3017	483
862	3020	479
863	3022	475
864	3024	472
865	3026	468
866	3027	464
867	3029	460
868	3030	456
869	3031	452
870	3036	449
871	3038	445
872	3040	442
873	3041	438
874	3043	434
875	3044	430
876	3045	427
877	3049	423
878	3050	419
879	3051	416
880	3052	412
881	3053	408
882	3055	404
883	3056	401
884	3057	397
885	3058	393
886	3059	389
887	3062	386
888	3063	382
889	3068	379
890	3070	375
891	3071	371
892	3075	368
893	3078	365
894	3080	361
895	3082	357
896	3083	354
897	3084	350
898	3087	346
899	3089	343
900	3091	339
901	3092	335
902	3093	332
903	3094	328
904	3096	325
905	3097	321
906	3098	317
907	3100	314
908	3101	310
909	3102	306
910	3103	303
911	3105	299
912	3106	296
913	3107	292
914	3108	288
915	3110	285
916	3114	281
917	3115	278
918	3117	274
919	3119	271
920	3121	267
921	3122	264
922	3124	260
923	3130	257
924	3131	253
925	3133	250
926	3134	246
927	3136	243
928	3137	239
929	3138	236
930	3141	232
931	3142	229
932	3144	225
933	3146	222
934	3148	218
935	3150	215
936	3151	211
937	3156	208
938	3158	205
939	3160	201
940	3161	198
941	3162	194
942	3164	191
943	3166	187
944	3168	184
945	3169	180
946	3170	177
947	3171	173
948	3172	170
949	3174	167
950	3175	163
951	3181	160
952	3183	156
953	3184	153
954	3185	150
955	3186	146
956	3187	143
957	3189	139
958	3193	136
959	3194	133
960	3196	129
961	3198	126
962	3200	122
963	3201	119
964	3207	116
965	3208	112
966	3210	109
967	3211	106
968	3212	102
969	3214	99
970	3215	96
971	3217	92
972	3219	89
973	3220	85
974	3221	82
975	3223	79
976	3224	75
977	3225	72
978	3226	69
979	3228	65
980	3229	62
981	3232	59
982	3233	55
983	3234	52
984	3236	49
985	3237	45
986	3239	42
987	3240	39
988	3242	36
989	3244	32
990	3250	29
991	3252	26
992	3253	22
993	3254	19
994	3255	16
995	3257	13
996	3258	9
997	3264	6
998	3266	3
999	3267	0
